Statistic,Month,NACE.Group,value
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 March,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 March,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 March,"Other retail sales (4753,4763 to 4765,4776 to 4778)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 March,"Retail sale of books, newspapers and stationery (4761,4762)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 March,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 April,Motor trades (45),
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 April,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 April,Department stores (4719),
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 April,Retail sale of automotive fuel (4730),
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 April,"Retail sale of hardware, paints and glass (4752)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 April,Retail sale of furniture and lighting (4759),
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 April,Bars (5630),
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 April,All retail businesses,
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 April,"Motor trades and automotive fuel (45,4730)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 April,"All retail businesses, excluding motor trades and bars",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 April,"All retail businesses, excluding motor trades",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 April,"All retail businesses, excluding motor trades, automotive fuel and bars",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 April,"Retail sale of food (4711,4721 to 4729)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 April,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 April,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 April,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 April,"Retail sale of electrical goods (4741 to 4743,4754)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 April,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 April,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 April,"Other retail sales (4753,4763 to 4765,4776 to 4778)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 April,"Retail sale of books, newspapers and stationery (4761,4762)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 April,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 May,Motor trades (45),
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 May,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 May,Department stores (4719),
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 May,Retail sale of automotive fuel (4730),
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 May,"Retail sale of hardware, paints and glass (4752)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 May,Retail sale of furniture and lighting (4759),
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 May,Bars (5630),
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 May,All retail businesses,
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 May,"Motor trades and automotive fuel (45,4730)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 May,"All retail businesses, excluding motor trades and bars",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 May,"All retail businesses, excluding motor trades",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 May,"All retail businesses, excluding motor trades, automotive fuel and bars",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 May,"Retail sale of food (4711,4721 to 4729)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 May,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 May,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 May,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 May,"Retail sale of electrical goods (4741 to 4743,4754)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 May,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 May,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 May,"Other retail sales (4753,4763 to 4765,4776 to 4778)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 May,"Retail sale of books, newspapers and stationery (4761,4762)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 May,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 June,Motor trades (45),
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 June,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 June,Department stores (4719),
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 June,Retail sale of automotive fuel (4730),
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 June,"Retail sale of hardware, paints and glass (4752)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 June,Retail sale of furniture and lighting (4759),
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 June,Bars (5630),
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 June,All retail businesses,
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 June,"Motor trades and automotive fuel (45,4730)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 June,"All retail businesses, excluding motor trades and bars",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 June,"All retail businesses, excluding motor trades",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 June,"All retail businesses, excluding motor trades, automotive fuel and bars",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 June,"Retail sale of food (4711,4721 to 4729)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 June,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 June,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 June,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 June,"Retail sale of electrical goods (4741 to 4743,4754)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 June,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 June,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 June,"Other retail sales (4753,4763 to 4765,4776 to 4778)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 June,"Retail sale of books, newspapers and stationery (4761,4762)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 June,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 July,Motor trades (45),
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 July,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 July,Department stores (4719),
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 July,Retail sale of automotive fuel (4730),
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 July,"Retail sale of hardware, paints and glass (4752)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 July,Retail sale of furniture and lighting (4759),
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 July,Bars (5630),
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 July,All retail businesses,
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 July,"Motor trades and automotive fuel (45,4730)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 July,"All retail businesses, excluding motor trades and bars",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 July,"All retail businesses, excluding motor trades",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 July,"All retail businesses, excluding motor trades, automotive fuel and bars",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 July,"Retail sale of food (4711,4721 to 4729)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 July,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 July,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 July,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 July,"Retail sale of electrical goods (4741 to 4743,4754)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 July,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 July,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 July,"Other retail sales (4753,4763 to 4765,4776 to 4778)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 July,"Retail sale of books, newspapers and stationery (4761,4762)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 July,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",
