,Statistic,Month,Type.of.Residential.Property,value
17476,Percentage Change over 12 months for Residential Property Price Index,2021 April,Mid-East - houses,5.5
17477,Percentage Change over 12 months for Residential Property Price Index,2021 April,Mid-West - houses,4.1
17478,Percentage Change over 12 months for Residential Property Price Index,2021 April,South-East - houses,6.3
17479,Percentage Change over 12 months for Residential Property Price Index,2021 April,South-West - houses,2.0
17480,Percentage Change over 12 months for Residential Property Price Index,2021 May,National - all residential properties,5.4
17481,Percentage Change over 12 months for Residential Property Price Index,2021 May,National - houses,5.5
17482,Percentage Change over 12 months for Residential Property Price Index,2021 May,National - apartments,4.8
17483,Percentage Change over 12 months for Residential Property Price Index,2021 May,Dublin - all residential properties,4.8
17484,Percentage Change over 12 months for Residential Property Price Index,2021 May,Dublin - houses,5.6
17485,Percentage Change over 12 months for Residential Property Price Index,2021 May,Dublin - apartments,1.3
17486,Percentage Change over 12 months for Residential Property Price Index,2021 May,Dublin City - houses,5.7
17487,Percentage Change over 12 months for Residential Property Price Index,2021 May,Dun Laoghaire-Rathdown - houses,6.3
17488,Percentage Change over 12 months for Residential Property Price Index,2021 May,Fingal - houses,3.7
17489,Percentage Change over 12 months for Residential Property Price Index,2021 May,South Dublin - houses,6.6
17490,Percentage Change over 12 months for Residential Property Price Index,2021 May,National excluding Dublin - all residential properties,6.0
17491,Percentage Change over 12 months for Residential Property Price Index,2021 May,National excluding Dublin - houses,5.5
17492,Percentage Change over 12 months for Residential Property Price Index,2021 May,National excluding Dublin - apartments,13.8
17493,Percentage Change over 12 months for Residential Property Price Index,2021 May,Border - houses,9.6
17494,Percentage Change over 12 months for Residential Property Price Index,2021 May,Midland - houses,8.8
17495,Percentage Change over 12 months for Residential Property Price Index,2021 May,West - houses,5.1
17496,Percentage Change over 12 months for Residential Property Price Index,2021 May,Mid-East - houses,6.5
17497,Percentage Change over 12 months for Residential Property Price Index,2021 May,Mid-West - houses,7.4
17498,Percentage Change over 12 months for Residential Property Price Index,2021 May,South-East - houses,5.9
17499,Percentage Change over 12 months for Residential Property Price Index,2021 May,South-West - houses,0.9
17500,Percentage Change over 12 months for Residential Property Price Index,2021 June,National - all residential properties,6.8
17501,Percentage Change over 12 months for Residential Property Price Index,2021 June,National - houses,7.0
17502,Percentage Change over 12 months for Residential Property Price Index,2021 June,National - apartments,5.6
17503,Percentage Change over 12 months for Residential Property Price Index,2021 June,Dublin - all residential properties,6.3
17504,Percentage Change over 12 months for Residential Property Price Index,2021 June,Dublin - houses,7.4
17505,Percentage Change over 12 months for Residential Property Price Index,2021 June,Dublin - apartments,2.1
17506,Percentage Change over 12 months for Residential Property Price Index,2021 June,Dublin City - houses,7.0
17507,Percentage Change over 12 months for Residential Property Price Index,2021 June,Dun Laoghaire-Rathdown - houses,7.8
17508,Percentage Change over 12 months for Residential Property Price Index,2021 June,Fingal - houses,5.6
17509,Percentage Change over 12 months for Residential Property Price Index,2021 June,South Dublin - houses,9.1
17510,Percentage Change over 12 months for Residential Property Price Index,2021 June,National excluding Dublin - all residential properties,7.4
17511,Percentage Change over 12 months for Residential Property Price Index,2021 June,National excluding Dublin - houses,6.8
17512,Percentage Change over 12 months for Residential Property Price Index,2021 June,National excluding Dublin - apartments,14.6
17513,Percentage Change over 12 months for Residential Property Price Index,2021 June,Border - houses,13.5
17514,Percentage Change over 12 months for Residential Property Price Index,2021 June,Midland - houses,9.7
17515,Percentage Change over 12 months for Residential Property Price Index,2021 June,West - houses,5.0
17516,Percentage Change over 12 months for Residential Property Price Index,2021 June,Mid-East - houses,7.4
17517,Percentage Change over 12 months for Residential Property Price Index,2021 June,Mid-West - houses,8.0
17518,Percentage Change over 12 months for Residential Property Price Index,2021 June,South-East - houses,8.5
17519,Percentage Change over 12 months for Residential Property Price Index,2021 June,South-West - houses,2.9
17520,Percentage Change over 12 months for Residential Property Price Index,2021 July,National - all residential properties,8.5
17521,Percentage Change over 12 months for Residential Property Price Index,2021 July,National - houses,8.7
17522,Percentage Change over 12 months for Residential Property Price Index,2021 July,National - apartments,7.0
17523,Percentage Change over 12 months for Residential Property Price Index,2021 July,Dublin - all residential properties,8.1
17524,Percentage Change over 12 months for Residential Property Price Index,2021 July,Dublin - houses,9.1
17525,Percentage Change over 12 months for Residential Property Price Index,2021 July,Dublin - apartments,4.0
17526,Percentage Change over 12 months for Residential Property Price Index,2021 July,Dublin City - houses,9.4
17527,Percentage Change over 12 months for Residential Property Price Index,2021 July,Dun Laoghaire-Rathdown - houses,9.7
17528,Percentage Change over 12 months for Residential Property Price Index,2021 July,Fingal - houses,6.1
17529,Percentage Change over 12 months for Residential Property Price Index,2021 July,South Dublin - houses,11.2
17530,Percentage Change over 12 months for Residential Property Price Index,2021 July,National excluding Dublin - all residential properties,8.9
17531,Percentage Change over 12 months for Residential Property Price Index,2021 July,National excluding Dublin - houses,8.5
17532,Percentage Change over 12 months for Residential Property Price Index,2021 July,National excluding Dublin - apartments,14.6
17533,Percentage Change over 12 months for Residential Property Price Index,2021 July,Border - houses,15.7
17534,Percentage Change over 12 months for Residential Property Price Index,2021 July,Midland - houses,11.0
17535,Percentage Change over 12 months for Residential Property Price Index,2021 July,West - houses,8.4
17536,Percentage Change over 12 months for Residential Property Price Index,2021 July,Mid-East - houses,8.0
17537,Percentage Change over 12 months for Residential Property Price Index,2021 July,Mid-West - houses,8.6
17538,Percentage Change over 12 months for Residential Property Price Index,2021 July,South-East - houses,10.8
17539,Percentage Change over 12 months for Residential Property Price Index,2021 July,South-West - houses,5.2
