Statistic,Quarter,Type.of.House,Local.Authority,value
New Dwelling Completion,2022Q2,Apartment,Cavan County Council,4
New Dwelling Completion,2022Q2,Apartment,Cork County Council,43
New Dwelling Completion,2022Q2,Apartment,Carlow County Council,0
New Dwelling Completion,2022Q2,Apartment,Dublin City Council,967
New Dwelling Completion,2022Q2,Apartment,Dún Laoghaire Rathdown County Council,535
New Dwelling Completion,2022Q2,Apartment,Donegal County Council,4
New Dwelling Completion,2022Q2,Apartment,Fingal County Council,223
New Dwelling Completion,2022Q2,Apartment,Galway County Council,3
New Dwelling Completion,2022Q2,Apartment,Galway City Council,58
New Dwelling Completion,2022Q2,Apartment,Kildare County Council,74
New Dwelling Completion,2022Q2,Apartment,Kilkenny County Council,12
New Dwelling Completion,2022Q2,Apartment,Kerry County Council,2
New Dwelling Completion,2022Q2,Apartment,Longford County Council,5
New Dwelling Completion,2022Q2,Apartment,Louth County Council,17
New Dwelling Completion,2022Q2,Apartment,Limerick City & County Council,37
New Dwelling Completion,2022Q2,Apartment,Leitrim County Council,2
New Dwelling Completion,2022Q2,Apartment,Laois County Council,13
New Dwelling Completion,2022Q2,Apartment,Meath County Council,8
New Dwelling Completion,2022Q2,Apartment,Monaghan County Council,16
New Dwelling Completion,2022Q2,Apartment,Mayo County Council,2
New Dwelling Completion,2022Q2,Apartment,Offaly County Council,9
New Dwelling Completion,2022Q2,Apartment,Roscommon County Council,1
New Dwelling Completion,2022Q2,Apartment,South Dublin County Council,95
New Dwelling Completion,2022Q2,Apartment,Sligo County Council,4
New Dwelling Completion,2022Q2,Apartment,Tipperary County Council,18
New Dwelling Completion,2022Q2,Apartment,Waterford City & County Council,2
New Dwelling Completion,2022Q2,Apartment,Westmeath County Council,26
New Dwelling Completion,2022Q2,Apartment,Wicklow County Council,2
New Dwelling Completion,2022Q2,Apartment,Wexford County Council,10
New Dwelling Completion,2022Q2,Apartment,Ireland,2319
New Dwelling Completion,2022Q2,All house types,Cork City Council,363
New Dwelling Completion,2022Q2,All house types,Clare County Council,165
New Dwelling Completion,2022Q2,All house types,Cavan County Council,80
New Dwelling Completion,2022Q2,All house types,Cork County Council,486
New Dwelling Completion,2022Q2,All house types,Carlow County Council,51
New Dwelling Completion,2022Q2,All house types,Dublin City Council,1021
New Dwelling Completion,2022Q2,All house types,Dún Laoghaire Rathdown County Council,668
New Dwelling Completion,2022Q2,All house types,Donegal County Council,155
New Dwelling Completion,2022Q2,All house types,Fingal County Council,592
New Dwelling Completion,2022Q2,All house types,Galway County Council,231
New Dwelling Completion,2022Q2,All house types,Galway City Council,140
New Dwelling Completion,2022Q2,All house types,Kildare County Council,566
New Dwelling Completion,2022Q2,All house types,Kilkenny County Council,146
New Dwelling Completion,2022Q2,All house types,Kerry County Council,213
New Dwelling Completion,2022Q2,All house types,Longford County Council,20
New Dwelling Completion,2022Q2,All house types,Louth County Council,200
New Dwelling Completion,2022Q2,All house types,Limerick City & County Council,211
New Dwelling Completion,2022Q2,All house types,Leitrim County Council,13
New Dwelling Completion,2022Q2,All house types,Laois County Council,152
New Dwelling Completion,2022Q2,All house types,Meath County Council,537
New Dwelling Completion,2022Q2,All house types,Monaghan County Council,99
New Dwelling Completion,2022Q2,All house types,Mayo County Council,114
New Dwelling Completion,2022Q2,All house types,Offaly County Council,87
New Dwelling Completion,2022Q2,All house types,Roscommon County Council,27
New Dwelling Completion,2022Q2,All house types,South Dublin County Council,425
New Dwelling Completion,2022Q2,All house types,Sligo County Council,48
New Dwelling Completion,2022Q2,All house types,Tipperary County Council,107
New Dwelling Completion,2022Q2,All house types,Waterford City & County Council,93
New Dwelling Completion,2022Q2,All house types,Westmeath County Council,91
New Dwelling Completion,2022Q2,All house types,Wicklow County Council,313
New Dwelling Completion,2022Q2,All house types,Wexford County Council,168
New Dwelling Completion,2022Q2,All house types,Ireland,7582
New Dwelling Completion,2022Q3,Single house,Cork City Council,16
New Dwelling Completion,2022Q3,Single house,Clare County Council,58
New Dwelling Completion,2022Q3,Single house,Cavan County Council,38
New Dwelling Completion,2022Q3,Single house,Cork County Council,185
New Dwelling Completion,2022Q3,Single house,Carlow County Council,22
New Dwelling Completion,2022Q3,Single house,Dublin City Council,14
New Dwelling Completion,2022Q3,Single house,Dún Laoghaire Rathdown County Council,8
New Dwelling Completion,2022Q3,Single house,Donegal County Council,112
New Dwelling Completion,2022Q3,Single house,Fingal County Council,23
New Dwelling Completion,2022Q3,Single house,Galway County Council,114
New Dwelling Completion,2022Q3,Single house,Galway City Council,12
New Dwelling Completion,2022Q3,Single house,Kildare County Council,44
New Dwelling Completion,2022Q3,Single house,Kilkenny County Council,43
New Dwelling Completion,2022Q3,Single house,Kerry County Council,72
New Dwelling Completion,2022Q3,Single house,Longford County Council,20
New Dwelling Completion,2022Q3,Single house,Louth County Council,38
New Dwelling Completion,2022Q3,Single house,Limerick City & County Council,58
New Dwelling Completion,2022Q3,Single house,Leitrim County Council,17
New Dwelling Completion,2022Q3,Single house,Laois County Council,38
New Dwelling Completion,2022Q3,Single house,Meath County Council,85
New Dwelling Completion,2022Q3,Single house,Monaghan County Council,37
New Dwelling Completion,2022Q3,Single house,Mayo County Council,81
New Dwelling Completion,2022Q3,Single house,Offaly County Council,40
New Dwelling Completion,2022Q3,Single house,Roscommon County Council,27
New Dwelling Completion,2022Q3,Single house,South Dublin County Council,11
New Dwelling Completion,2022Q3,Single house,Sligo County Council,36
New Dwelling Completion,2022Q3,Single house,Tipperary County Council,59
New Dwelling Completion,2022Q3,Single house,Waterford City & County Council,32
New Dwelling Completion,2022Q3,Single house,Westmeath County Council,49
New Dwelling Completion,2022Q3,Single house,Wicklow County Council,41
New Dwelling Completion,2022Q3,Single house,Wexford County Council,85
New Dwelling Completion,2022Q3,Single house,Ireland,1515
New Dwelling Completion,2022Q3,Scheme house,Cork City Council,226
New Dwelling Completion,2022Q3,Scheme house,Clare County Council,65
New Dwelling Completion,2022Q3,Scheme house,Cavan County Council,15
New Dwelling Completion,2022Q3,Scheme house,Cork County Council,275
New Dwelling Completion,2022Q3,Scheme house,Carlow County Council,29
New Dwelling Completion,2022Q3,Scheme house,Dublin City Council,66
New Dwelling Completion,2022Q3,Scheme house,Dún Laoghaire Rathdown County Council,118
New Dwelling Completion,2022Q3,Scheme house,Donegal County Council,43
New Dwelling Completion,2022Q3,Scheme house,Fingal County Council,391
New Dwelling Completion,2022Q3,Scheme house,Galway County Council,100
New Dwelling Completion,2022Q3,Scheme house,Galway City Council,68
New Dwelling Completion,2022Q3,Scheme house,Kildare County Council,539
New Dwelling Completion,2022Q3,Scheme house,Kilkenny County Council,17
New Dwelling Completion,2022Q3,Scheme house,Kerry County Council,58
New Dwelling Completion,2022Q3,Scheme house,Longford County Council,14
New Dwelling Completion,2022Q3,Scheme house,Louth County Council,144
New Dwelling Completion,2022Q3,Scheme house,Limerick City & County Council,128
New Dwelling Completion,2022Q3,Scheme house,Leitrim County Council,4
New Dwelling Completion,2022Q3,Scheme house,Laois County Council,36
New Dwelling Completion,2022Q3,Scheme house,Meath County Council,302
New Dwelling Completion,2022Q3,Scheme house,Monaghan County Council,26
New Dwelling Completion,2022Q3,Scheme house,Mayo County Council,34
New Dwelling Completion,2022Q3,Scheme house,Offaly County Council,18
New Dwelling Completion,2022Q3,Scheme house,Roscommon County Council,12
New Dwelling Completion,2022Q3,Scheme house,South Dublin County Council,341
New Dwelling Completion,2022Q3,Scheme house,Sligo County Council,22
New Dwelling Completion,2022Q3,Scheme house,Tipperary County Council,2
New Dwelling Completion,2022Q3,Scheme house,Waterford City & County Council,65
New Dwelling Completion,2022Q3,Scheme house,Westmeath County Council,92
New Dwelling Completion,2022Q3,Scheme house,Wicklow County Council,183
New Dwelling Completion,2022Q3,Scheme house,Wexford County Council,142
New Dwelling Completion,2022Q3,Scheme house,Ireland,3575
New Dwelling Completion,2022Q3,Apartment,Cork City Council,88
New Dwelling Completion,2022Q3,Apartment,Clare County Council,1
New Dwelling Completion,2022Q3,Apartment,Cavan County Council,4
New Dwelling Completion,2022Q3,Apartment,Cork County Council,24
New Dwelling Completion,2022Q3,Apartment,Carlow County Council,3
New Dwelling Completion,2022Q3,Apartment,Dublin City Council,1135
New Dwelling Completion,2022Q3,Apartment,Dún Laoghaire Rathdown County Council,251
New Dwelling Completion,2022Q3,Apartment,Donegal County Council,12
New Dwelling Completion,2022Q3,Apartment,Fingal County Council,146
New Dwelling Completion,2022Q3,Apartment,Galway County Council,10
New Dwelling Completion,2022Q3,Apartment,Galway City Council,79
New Dwelling Completion,2022Q3,Apartment,Kildare County Council,165
New Dwelling Completion,2022Q3,Apartment,Kilkenny County Council,15
New Dwelling Completion,2022Q3,Apartment,Kerry County Council,8
New Dwelling Completion,2022Q3,Apartment,Longford County Council,16
New Dwelling Completion,2022Q3,Apartment,Louth County Council,9
New Dwelling Completion,2022Q3,Apartment,Limerick City & County Council,5
New Dwelling Completion,2022Q3,Apartment,Leitrim County Council,2
New Dwelling Completion,2022Q3,Apartment,Laois County Council,5
New Dwelling Completion,2022Q3,Apartment,Meath County Council,3
New Dwelling Completion,2022Q3,Apartment,Monaghan County Council,0
New Dwelling Completion,2022Q3,Apartment,Mayo County Council,4
New Dwelling Completion,2022Q3,Apartment,Offaly County Council,4
New Dwelling Completion,2022Q3,Apartment,Roscommon County Council,3
New Dwelling Completion,2022Q3,Apartment,South Dublin County Council,105
New Dwelling Completion,2022Q3,Apartment,Sligo County Council,2
New Dwelling Completion,2022Q3,Apartment,Tipperary County Council,5
New Dwelling Completion,2022Q3,Apartment,Waterford City & County Council,10
New Dwelling Completion,2022Q3,Apartment,Westmeath County Council,6
New Dwelling Completion,2022Q3,Apartment,Wicklow County Council,102
New Dwelling Completion,2022Q3,Apartment,Wexford County Council,54
New Dwelling Completion,2022Q3,Apartment,Ireland,2276
New Dwelling Completion,2022Q3,All house types,Cork City Council,330
New Dwelling Completion,2022Q3,All house types,Clare County Council,124
New Dwelling Completion,2022Q3,All house types,Cavan County Council,57
New Dwelling Completion,2022Q3,All house types,Cork County Council,484
New Dwelling Completion,2022Q3,All house types,Carlow County Council,54
New Dwelling Completion,2022Q3,All house types,Dublin City Council,1215
New Dwelling Completion,2022Q3,All house types,Dún Laoghaire Rathdown County Council,377
New Dwelling Completion,2022Q3,All house types,Donegal County Council,167
New Dwelling Completion,2022Q3,All house types,Fingal County Council,560
New Dwelling Completion,2022Q3,All house types,Galway County Council,224
New Dwelling Completion,2022Q3,All house types,Galway City Council,159
New Dwelling Completion,2022Q3,All house types,Kildare County Council,748
New Dwelling Completion,2022Q3,All house types,Kilkenny County Council,75
New Dwelling Completion,2022Q3,All house types,Kerry County Council,138
New Dwelling Completion,2022Q3,All house types,Longford County Council,50
New Dwelling Completion,2022Q3,All house types,Louth County Council,191
New Dwelling Completion,2022Q3,All house types,Limerick City & County Council,191
New Dwelling Completion,2022Q3,All house types,Leitrim County Council,23
New Dwelling Completion,2022Q3,All house types,Laois County Council,79
New Dwelling Completion,2022Q3,All house types,Meath County Council,390
New Dwelling Completion,2022Q3,All house types,Monaghan County Council,63
New Dwelling Completion,2022Q3,All house types,Mayo County Council,119
New Dwelling Completion,2022Q3,All house types,Offaly County Council,62
New Dwelling Completion,2022Q3,All house types,Roscommon County Council,42
New Dwelling Completion,2022Q3,All house types,South Dublin County Council,457
New Dwelling Completion,2022Q3,All house types,Sligo County Council,60
New Dwelling Completion,2022Q3,All house types,Tipperary County Council,66
New Dwelling Completion,2022Q3,All house types,Waterford City & County Council,107
New Dwelling Completion,2022Q3,All house types,Westmeath County Council,147
New Dwelling Completion,2022Q3,All house types,Wicklow County Council,326
New Dwelling Completion,2022Q3,All house types,Wexford County Council,281
New Dwelling Completion,2022Q3,All house types,Ireland,7366
New Dwelling Completion,2022Q4,Single house,Cork City Council,18
New Dwelling Completion,2022Q4,Single house,Clare County Council,69
New Dwelling Completion,2022Q4,Single house,Cavan County Council,25
New Dwelling Completion,2022Q4,Single house,Cork County Council,196
New Dwelling Completion,2022Q4,Single house,Carlow County Council,18
